index,单晶硅料,单晶硅片166,单晶硅片182,单晶硅片210,单晶电池片166,单晶电池片182,单晶电池片210,单面166组件,单面182组件,单面210组件
2020-12-15,81.6,3.22,3.9,5.48,0.9400000000000001,0.96,0.97,1.64,1.72,1.72
2021-01-15,85.25,3.22,3.9,5.48,0.8624999999999999,0.92,0.93,1.64,1.68,1.68
2021-02-15,90.25,3.26,3.9375,5.51,0.84,0.9,0.91,1.64,1.66,1.66
2021-03-15,115.6,3.75,4.512,6.16,0.85,0.9,0.9099999999999999,1.656,1.686,1.686
2021-04-15,138,3.9624999999999995,4.71,6.3625,0.8724999999999999,0.8925,0.9025000000000001,1.67,1.695,1.695
2021-05-15,174.25,4.460625,5.275,7.234999999999999,0.98,0.98,0.9824999999999999,1.6949999999999998,1.73,1.73
2021-06-15,206,5.052,6.032000000000001,8.26,1.0539999999999998,1.06,1.06,1.7579999999999998,1.778,1.778
2021-07-15,206,4.904999999999999,5.925000000000001,8,1.04,1.05,1.05,1.76,1.8,1.8
2021-08-15,215,4.85,5.85,7.9,1.03,1.04,1.04,1.76,1.8,1.8
2021-09-15,225,4.85,5.85,7.75,1.02,1.03,1.03,1.76,1.8,1.8
2021-10-15,210,4.7,5.6000000000000005,7.550000000000001,1.01,1.01,1.01,1.76,1.8,1.8
2021-11-15,185,4.3,5,6.6,0.94,0.94,0.94,1.76,1.8,1.8
2021-12-15,180,4.1,4.75,6.3,0.9,0.9,0.9,1.76,1.8,1.8
2022-01-15,168,3.8,4.45,5.9,0.85,0.85,0.85,1.75,1.79,1.79
2022-02-15,158,3.6,4.25,5.7,0.82,0.82,0.82,1.72,1.76,1.76
2022-03-15,150,3.45,4.1000000000000005,5.45,0.79,0.8,0.8,1.69,1.73,1.73
2022-04-15,110,2.8,3.3,4.3,0.6799999999999999,0.69,0.69,1.66,1.7,1.7
2022-05-15,95,2.4,2.8,3.5999999999999996,0.62,0.63,0.63,1.63,1.67,1.67
